Date,Open,High,Low,Close,Volume
2024-06-14,183.0800,183.7200,182.2300,183.6600,25456410
2024-06-17,182.5200,185.0000,181.2200,184.0600,35601907
2024-06-18,183.7350,184.2900,181.4300,182.8100,36659157
2024-06-20,182.9100,186.5100,182.7200,186.1000,44726779
2024-06-21,187.8000,189.2750,185.8600,189.0800,72931754
2024-06-24,189.3300,191.0000,185.3300,185.5700,50610379
2024-06-25,186.8100,188.8400,185.4200,186.3400,45898475
2024-06-26,186.9200,194.8000,186.2600,193.6100,65103893
2024-06-27,195.0050,199.8400,194.2000,197.8500,74397491
2024-06-28,197.7300,198.8500,192.5000,193.2500,76930192
2024-07-01,193.4900,198.2957,192.8200,197.2000,41192011
2024-07-02,197.2800,200.4300,195.9300,200.0000,45600013
2024-07-03,199.9400,200.0290,196.7601,197.5900,31597926
2024-07-05,198.6500,200.5500,198.1700,200.0000,39858885
2024-07-08,200.0400,201.2000,197.9600,199.2900,34767261
2024-07-09,199.4000,200.5700,199.0450,199.3400,32756736
2024-07-10,199.9950,200.1100,197.6900,199.7900,32883753
2024-07-11,200.0900,200.2699,192.8600,195.0500,44565041
2024-07-12,194.8000,196.4700,193.8301,194.4900,30598525
2024-07-15,194.5600,196.1900,190.8300,192.7200,40683227
2024-07-16,195.5900,196.6200,192.2400,193.0200,33994714
2024-07-17,191.3500,191.5800,185.9900,187.9300,48076139
2024-07-18,189.5900,189.6800,181.4480,183.7500,51043626
2024-07-19,181.1400,184.9300,180.1100,183.1300,43081829
2024-07-22,185.0000,185.0600,182.4800,182.5500,39931923
2024-07-23,184.1000,189.3900,183.5600,186.4100,47537670
2024-07-24,183.2000,185.4500,180.4100,180.8300,41532360
2024-07-25,182.9100,183.8958,176.8000,179.8500,44464163
2024-07-26,180.3900,183.1900,180.2400,182.5000,29505964
2024-07-29,183.8400,184.7500,182.3800,183.2000,33270123
2024-07-30,184.7200,185.8600,179.3800,181.7100,39508574
2024-07-31,185.0500,187.9400,184.4600,186.9800,41667326
2024-08-01,189.2850,190.6000,181.8700,184.0700,70435635
2024-08-02,166.7500,168.7700,160.5500,167.9000,141448365
2024-08-05,154.2100,162.9600,151.6100,161.0200,83149437
2024-08-06,161.7100,165.0800,158.5404,161.9300,59950830
2024-08-07,166.5500,167.5800,161.4300,162.7700,48408240
2024-08-08,165.1650,166.6899,162.5500,165.8000,44616206
2024-08-09,166.4000,168.5500,165.8500,166.9400,36401049
2024-08-12,168.1400,168.5500,166.1101,166.8000,30072788
2024-08-13,167.8100,171.0400,167.1000,170.2300,39237915
2024-08-14,172.1100,172.2800,168.8600,170.1000,28843804
2024-08-15,174.8600,177.9100,173.9900,177.5900,51698513
2024-08-16,177.0400,178.3400,176.2601,177.0600,31489175
2024-08-19,177.6400,178.3000,176.1600,178.2200,31129807
2024-08-20,177.9200,179.0100,177.4308,178.8800,26255204
2024-08-21,179.9200,182.3850,178.8937,180.1100,35599120
2024-08-22,181.3800,181.4700,175.6800,176.1300,32047482
2024-08-23,177.3400,178.9699,175.2400,177.0400,29150091
2024-08-26,176.7000,177.4682,174.3000,175.5000,22366236
2024-08-27,174.1500,174.8900,172.2500,173.1200,29841979
2024-08-28,173.6900,173.6900,168.9200,170.8000,29045025
2024-08-29,173.2200,174.2900,170.8100,172.1200,26407815
2024-08-30,172.7800,178.9000,172.6000,178.5000,43429355
2024-09-03,177.5500,178.2600,175.2600,176.2500,37817511
2024-09-04,174.4800,175.9800,172.5400,173.3300,29682478
2024-09-05,175.0000,179.8750,174.9950,177.8900,40170526
2024-09-06,177.2400,178.3800,171.1600,171.3900,41466537
2024-09-09,174.5300,175.8500,173.5100,175.4000,29037362
2024-09-10,177.4900,180.5000,176.7900,179.5500,36233796
2024-09-11,180.0950,184.9900,175.7300,184.5200,42564698
2024-09-12,184.8000,187.4100,183.5400,187.0000,33622483
2024-09-13,187.0000,188.5000,185.9100,186.4900,26495351
2024-09-16,185.2900,185.8100,183.3600,184.8900,26065485
2024-09-17,186.8500,189.4500,186.1400,186.8800,26091682
2024-09-18,186.4500,188.8000,185.0600,186.4300,34448130
2024-09-19,190.0400,190.9900,188.4700,189.8700,39543168
2024-09-20,190.2300,191.8400,187.4100,191.6000,100378553
2024-09-23,191.6400,194.4500,190.5700,193.8800,36993111
2024-09-24,194.2700,195.3700,190.1300,193.9600,43478926
2024-09-25,193.7500,193.9498,192.1600,192.5300,26391144
2024-09-26,194.3100,194.5300,189.5400,191.1600,36334854
2024-09-27,190.6800,190.9000,187.3400,187.9700,36002316
2024-09-30,187.1400,188.4900,184.6500,186.3300,41680400
2024-10-01,184.9000,186.1900,183.4519,185.1300,36044906
2024-10-02,184.4400,186.6000,184.0400,184.7600,23704056
2024-10-03,183.0450,183.4400,180.8750,181.9600,30204302
2024-10-04,185.7500,187.6000,183.6000,186.5100,41079011
2024-10-07,182.9500,183.6000,180.2500,180.8000,42364201
2024-10-08,181.9150,183.0900,180.9200,182.7200,26372086
2024-10-09,182.8200,185.8450,182.0500,185.1700,26343117
2024-10-10,187.1300,188.1340,185.8300,186.6500,27785043
2024-10-11,186.6300,189.9284,186.3000,188.8200,25751557
2024-10-14,189.7800,189.8300,187.3600,187.5400,22614407
2024-10-15,187.6300,188.4100,184.5800,187.6900,32178925
2024-10-16,187.0500,187.7800,185.6100,186.8900,23456812
2024-10-17,188.2200,188.9400,186.0000,187.5300,25039414
2024-10-18,187.1500,190.7400,186.2800,188.9900,37417670
2024-10-21,188.0500,189.4600,186.4000,189.0700,24639393
2024-10-22,188.3500,191.5201,186.9750,189.7000,29650593
2024-10-23,188.8500,189.1600,183.6900,184.7100,31937089
2024-10-24,185.2500,187.1100,183.8600,186.3800,21647395
2024-10-25,187.8500,190.4500,187.5300,187.8300,29362060
2024-10-28,189.5650,190.2100,188.2100,188.3900,27930836
2024-10-29,188.5800,191.4599,187.8150,190.8300,35690158
2024-10-30,194.6950,195.6100,192.4200,192.7300,37707550
2024-10-31,190.5100,190.6000,185.2300,186.4000,75146759
2024-11-01,199.0000,200.5000,197.0200,197.9300,99687847
2024-11-04,196.4500,197.3300,194.3101,195.7800,38492062
2024-11-05,196.0400,199.8200,195.9900,199.5000,30564784
2024-11-06,200.0100,207.5500,199.1400,207.0900,72292167
2024-11-07,207.4400,212.2500,207.1900,210.0500,52878383
2024-11-08,209.7200,209.9633,207.4400,208.1800,36075846
2024-11-11,208.5000,209.6500,205.5900,206.8400,35456012
2024-11-12,208.3700,209.5400,206.0100,208.9100,38942918
2024-11-13,209.4000,215.0900,209.1400,214.1000,46212943
2024-11-14,214.1600,215.9000,210.8800,211.4800,42620309
2024-11-15,206.7600,207.3400,199.6100,202.6100,86591144
2024-11-18,204.1500,204.6700,200.9500,201.7000,36512465
