Date,Open,High,Low,Close,Volume
2024-06-14,175.8520,178.7300,175.8520,178.3700,12361571
2024-06-17,176.9800,179.9200,176.4900,178.7800,15272864
2024-06-18,178.7900,178.9100,175.6200,176.4500,15640257
2024-06-20,176.7100,178.7400,176.4600,177.7100,16753166
2024-06-21,178.4900,182.5117,178.0600,180.2600,59728019
2024-06-24,181.2800,182.0800,180.2300,180.7900,18198282
2024-06-25,181.1450,185.7500,181.1050,185.5800,18917734
2024-06-26,184.2000,185.9300,183.9900,185.3700,13375715
2024-06-27,185.6450,187.5000,185.4500,186.8600,13025656
2024-06-28,185.7200,186.5800,183.3250,183.4200,23032362
2024-07-01,184.4800,185.3400,182.7300,184.4900,11815862
2024-07-02,183.4700,186.9500,183.0600,186.6100,12555545
2024-07-03,186.3000,187.6200,185.3850,187.3900,7409106
2024-07-05,187.3200,192.2600,187.3200,191.9600,14303361
2024-07-08,191.3650,191.6791,189.3200,190.4800,12097611
2024-07-09,191.7500,192.8600,190.2300,190.4400,10224925
2024-07-10,190.7500,193.3100,190.6200,192.6600,12052906
2024-07-11,191.3400,192.4100,186.8200,187.3000,16451981
2024-07-12,186.9200,188.6900,186.1400,186.7800,14449113
2024-07-15,186.4900,189.9000,186.4900,188.1900,12186015
2024-07-16,188.9600,190.3400,185.1200,185.5000,12760102
2024-07-17,184.6800,185.2300,181.6200,182.6200,17376563
2024-07-18,183.5400,184.0500,178.2100,179.2200,17877197
2024-07-19,180.3700,181.9700,178.8600,179.3900,14485899
2024-07-22,182.3500,184.3000,181.9000,183.3500,16303896
2024-07-23,183.8400,185.2200,183.3300,183.6000,23772602
2024-07-24,175.3900,177.9500,173.5700,174.3700,31250683
2024-07-25,174.2500,175.2000,169.0500,169.1600,28967880
2024-07-26,168.7700,169.8400,165.8650,168.6800,25150116
2024-07-29,170.5000,172.1600,169.7200,171.1300,13768931
2024-07-30,171.8300,172.9500,170.1200,171.8600,13681418
2024-07-31,174.9200,175.9100,171.7200,173.1500,15650154
