Date,Open,High,Low,Close,Volume
2024-06-14,30.2850,30.5600,30.2100,30.4500,28125886
2024-06-17,30.3400,31.0000,30.1800,30.9800,36235315
2024-06-18,30.9900,31.4700,30.5000,30.6300,33294749
2024-06-20,30.5550,31.1100,30.4500,30.6200,43826322
2024-06-21,30.8500,31.3600,30.6701,31.0900,92549024
2024-06-24,31.1400,31.4200,30.5300,30.5700,40611793
2024-06-25,30.7000,30.8300,30.2901,30.7400,29498583
2024-06-26,30.6400,30.6800,30.2731,30.5400,30742984
2024-06-27,30.4200,30.6582,30.2850,30.5900,30184278
2024-06-28,30.7500,31.3100,30.7200,30.9700,41467675
2024-07-01,30.9100,31.0200,30.6100,30.8400,32401760
2024-07-02,30.8550,31.3100,30.5850,31.0700,35999280
2024-07-03,31.1200,31.3400,30.9100,31.2300,24065673
2024-07-05,31.4000,32.3400,31.3114,32.0200,45309446
2024-07-08,33.0300,34.0900,32.8200,33.9900,82315937
2024-07-09,35.0150,35.2200,33.7200,34.5900,97788840
2024-07-10,34.4400,34.9700,34.1300,34.8700,52256195
2024-07-11,35.0310,35.1500,33.3100,33.5000,55213668
2024-07-12,33.7700,35.4750,33.7700,34.4900,62792646
2024-07-15,34.7000,35.2250,34.3100,34.4600,39847917
2024-07-16,34.3600,34.4500,33.8350,34.3400,28409906
2024-07-17,36.0800,37.1600,34.4000,34.4600,112304214
2024-07-18,34.9600,36.3000,34.5300,34.8700,84188608
2024-07-19,34.5650,34.5800,32.8500,32.9800,69628654
2024-07-22,33.2800,33.4100,32.7600,33.3700,48503749
2024-07-23,32.9600,33.2300,32.8300,32.9500,29466374
2024-07-24,32.5350,32.8000,31.6600,31.7000,62216669
2024-07-25,31.3720,31.9850,30.9500,31.1000,49774032
2024-07-26,31.4300,31.5600,31.0200,31.3500,38352543
2024-07-29,31.4200,31.4700,30.7900,30.8300,32342201
2024-07-30,30.8450,30.9100,30.0050,30.1300,48256628
2024-07-31,30.5400,30.8700,30.2800,30.7400,56110610
2024-08-01,30.4300,30.7100,28.8900,29.0500,107672516
2024-08-02,21.9400,21.9800,20.4200,21.4800,300895920
2024-08-05,20.2000,20.3850,19.2934,20.1100,147385697
2024-08-06,20.3200,20.6300,19.7500,19.8300,106670372
2024-08-07,19.9200,20.2500,18.9500,18.9900,97972290
2024-08-08,19.1000,20.5500,18.8400,20.4900,96836821
2024-08-09,20.0800,20.1500,19.5000,19.7100,76394546
2024-08-12,19.8700,19.9700,19.0000,19.3600,54677578
2024-08-13,19.4800,20.4800,19.4700,20.4700,77511346
2024-08-14,20.4850,20.5000,19.7850,19.9200,56758181
2024-08-15,20.3200,21.0600,20.2300,20.6900,84814880
2024-08-16,20.5300,20.8950,20.4101,20.8700,48582663
2024-08-19,20.8850,21.8600,20.8350,21.5200,65956303
2024-08-20,21.2100,21.2300,20.8200,20.9900,84161270
2024-08-21,21.0720,21.4400,21.0700,21.4100,57028870
2024-08-22,21.3900,21.4000,20.0400,20.1000,81444673
2024-08-23,20.3200,20.9300,20.2600,20.5400,73398430
2024-08-26,20.5300,20.5600,19.9500,20.1300,58534794
2024-08-27,20.1300,20.2600,19.8400,20.0700,43862017
2024-08-28,19.9800,20.1050,19.5100,19.6100,50144885
2024-08-29,19.7600,20.6000,19.7500,20.1300,64529661
2024-08-30,21.2500,22.1200,21.0000,22.0400,177785378
2024-09-03,21.5400,21.6900,19.9900,20.1000,115305533
2024-09-04,19.7600,20.0450,19.2800,19.4300,85370503
2024-09-05,19.2800,19.9000,19.2400,19.4000,65388789
2024-09-06,19.4400,19.4900,18.6400,18.8900,92686460
2024-09-09,19.0000,19.5400,18.9500,19.0700,64244126
2024-09-10,19.0300,19.1100,18.5100,18.9800,55621273
2024-09-11,19.0100,19.6900,18.5200,19.6400,71403141
2024-09-12,19.4300,19.5400,19.0400,19.3600,51602918
2024-09-13,19.4900,19.8000,19.4900,19.6600,44236271
2024-09-16,20.0300,21.0699,19.7600,20.9100,149337028
2024-09-17,21.7100,22.5800,21.2400,21.4700,196249783
2024-09-18,21.3600,21.7400,20.7150,20.7700,118727940
2024-09-19,21.2800,21.6900,21.0300,21.1400,99829168
2024-09-20,20.8900,23.1400,20.3500,21.8400,260377912
2024-09-23,22.4300,22.8200,22.0300,22.5600,184439134
2024-09-24,22.5300,23.1050,22.2850,22.8100,113082534
2024-09-25,22.8000,24.0550,22.7300,23.5400,117013357
2024-09-26,24.2800,24.4200,23.2500,23.9200,95416939
2024-09-27,24.1600,24.6600,23.7034,23.9100,85883278
2024-09-30,23.7400,23.9500,23.0900,23.4600,66460225
2024-10-01,23.4600,23.7200,22.2550,22.6900,86344357
2024-10-02,22.6700,23.0668,22.3500,22.3900,59033896
2024-10-03,22.1400,22.7300,21.6500,22.2600,49565931
2024-10-04,22.7000,22.9100,22.3000,22.5900,49966930
2024-10-07,22.4000,22.6500,22.0209,22.3800,54928674
2024-10-08,22.2500,23.4200,22.0450,23.3200,58650461
2024-10-09,23.2500,23.4800,23.0600,23.4600,44759018
2024-10-10,23.1900,23.5300,22.9600,23.2200,44874580
2024-10-11,23.0500,23.8200,22.9800,23.5600,43585252
2024-10-14,23.5800,23.7700,23.2701,23.4400,35403646
2024-10-15,23.4100,23.7200,22.4700,22.6600,68900556
2024-10-16,22.3800,22.5400,21.7400,22.3100,62151767
2024-10-17,22.7200,22.8200,22.4000,22.4400,43807577
2024-10-18,22.6100,22.8200,22.5000,22.7700,39971695
2024-10-21,22.6100,22.8800,22.2500,22.8400,39726985
2024-10-22,22.7300,22.8200,22.1700,22.4000,50160378
2024-10-23,22.3000,22.4250,21.5750,21.9800,45799051
