Date,Open,High,Low,Close,Volume
2024-06-14,655.0500,675.5800,652.6400,669.3800,4447116
2024-06-17,669.1100,682.7099,665.1101,675.8300,3631184
2024-06-18,675.6300,687.0600,674.6400,685.6700,2943775
2024-06-20,681.8000,689.8800,673.7203,679.0300,2585089
2024-06-21,683.2600,686.9000,678.1000,686.1200,4557086
2024-06-24,685.0000,685.5000,664.5000,669.0200,3916335
2024-06-25,673.4400,673.6650,662.3000,672.4100,2278768
2024-06-26,672.4100,682.9600,670.0200,677.6900,3545815
2024-06-27,679.3500,688.5700,678.1400,684.3400,2404849
2024-06-28,679.0000,687.0000,673.0800,674.8800,3412391
2024-07-01,674.8900,675.0200,663.7800,673.6100,2212826
2024-07-02,673.5400,681.7400,670.0700,679.5800,2411426
2024-07-03,677.4800,683.7499,675.5000,682.5100,1403545
2024-07-05,682.5100,697.4900,677.2300,690.6500,2659065
2024-07-08,687.0000,688.8600,681.4850,685.7400,1930786
2024-07-09,690.0000,695.2700,684.7200,685.7400,2599474
2024-07-10,685.0200,687.2200,673.1600,677.6500,2651928
2024-07-11,672.4850,672.4850,647.4400,652.7500,5111928
2024-07-12,652.7500,655.9200,643.7075,647.6000,3355197
2024-07-15,647.5000,667.5400,646.6300,656.4500,3208763
2024-07-16,661.8000,663.6750,649.1300,656.3200,2685706
2024-07-17,650.0000,650.4500,639.4700,647.4600,4017277
2024-07-18,656.6000,657.0395,639.1650,643.0400,7575763
2024-07-19,660.6400,678.9700,629.1201,633.3400,9815631
2024-07-22,639.5000,656.2900,632.6000,647.5000,5219077
2024-07-23,647.5000,649.9100,641.0001,642.7600,2463579
2024-07-24,635.7400,652.4200,632.6744,635.9900,4888163
2024-07-25,641.0000,649.9800,621.7001,634.0900,4554539
2024-07-26,645.0000,646.9899,629.7700,631.3700,3120659
2024-07-29,634.6100,634.6100,623.9300,626.9600,2400537
2024-07-30,630.1700,634.6900,617.0001,622.5800,3496609
2024-07-31,626.5700,633.5999,622.5800,628.3500,3134877
2024-08-01,629.2500,646.7099,617.6100,624.8500,3720573
2024-08-02,620.9800,625.2700,608.3500,613.6400,3523003
2024-08-05,587.0400,604.5627,587.0400,598.5500,4044235
2024-08-06,600.6200,622.4500,600.6200,609.5700,4319057
2024-08-07,616.0650,632.0000,610.6400,611.4800,3187791
2024-08-08,621.9900,632.2900,616.0200,630.3500,3283542
2024-08-09,622.9900,636.6200,622.9900,633.9400,1980836
2024-08-12,631.0000,639.0000,627.0700,633.1400,2331712
2024-08-13,638.5600,650.9700,635.5000,648.0200,2639571
2024-08-14,648.7000,663.5700,648.7000,661.6800,4014344
2024-08-15,668.4900,673.1900,659.8000,663.2200,3210173
2024-08-16,669.4300,680.2300,665.3600,674.0700,3511014
2024-08-19,674.0700,688.8400,672.9100,688.5300,3016227
2024-08-20,688.8600,711.3300,688.2450,698.5400,4813118
2024-08-21,697.0000,701.0000,691.3800,697.1200,2235343
2024-08-22,691.0000,701.5000,686.2400,688.9600,2729389
2024-08-23,694.1300,696.0700,678.6300,686.7300,2354450
2024-08-26,687.2600,690.5900,681.6376,688.4400,1354154
2024-08-27,688.5300,707.8900,686.9200,695.7200,3164878
2024-08-28,695.8300,696.6700,677.1000,683.8400,2430583
2024-08-29,690.0000,699.8000,686.0700,692.4800,2186974
2024-08-30,700.3600,701.8600,688.1600,701.3500,3266723
2024-09-03,700.1000,703.8600,671.0100,675.3200,3160964
2024-09-04,673.3100,684.6500,673.0600,679.6800,1772660
2024-09-05,673.1400,687.3100,671.8600,683.6200,1810072
2024-09-06,681.8600,683.1518,662.3400,665.7700,2991265
2024-09-09,674.0000,683.5000,672.1400,675.4200,2683111
2024-09-10,676.8700,680.5899,665.8050,673.6200,2079182
2024-09-11,677.4600,682.9700,660.8000,681.4700,2391924
2024-09-12,684.9200,694.8800,682.2000,686.8000,2588437
2024-09-13,680.0100,699.6400,680.0000,697.0600,2276482
2024-09-16,700.0000,703.0200,688.6316,696.5000,1843745
2024-09-17,700.8200,707.6300,698.3700,706.9100,2298630
2024-09-18,707.5500,707.5500,688.0000,690.4700,2984411
2024-09-19,705.0000,715.6600,695.3700,704.3200,4228480
2024-09-20,705.5500,706.6732,696.3100,701.0300,3998062
2024-09-23,702.3900,712.2499,699.1600,705.3700,3224344
2024-09-24,706.6250,722.4400,704.4500,722.2600,3565731
2024-09-25,721.0000,725.1200,716.2100,721.5600,2259775
2024-09-26,724.7300,725.2600,701.7200,711.4300,2832962
2024-09-27,708.3600,710.7100,701.2509,707.3500,2395613
2024-09-30,707.0000,711.2100,702.8192,709.2700,1711508
2024-10-01,713.6400,717.7600,698.5900,706.1300,2813482
2024-10-02,706.1300,716.2100,704.6878,711.0900,1758167
2024-10-03,704.2600,708.8100,700.0000,706.8000,2256449
2024-10-04,713.3200,721.0100,708.8200,719.7000,2230139
2024-10-07,714.7550,715.8800,696.4300,701.9200,3360520
2024-10-08,703.8800,725.0600,703.5457,721.7600,3187402
2024-10-09,719.2500,728.5900,718.8700,727.4300,1981070
2024-10-10,723.2900,733.8500,722.5000,730.2900,2767862
2024-10-11,734.9000,736.0000,721.2200,722.7900,2299525
2024-10-14,725.0000,726.6196,711.3109,713.0000,2797071
2024-10-15,712.5100,713.4000,699.7806,705.9800,2932752
2024-10-16,703.4300,705.5900,697.8200,702.0000,2494276
2024-10-17,704.3500,704.4124,677.8800,687.6500,8926672
2024-10-18,737.6400,766.2810,736.2300,763.8900,15974119
2024-10-21,765.7600,773.0000,756.6000,772.0700,6057093
2024-10-22,765.2700,769.7000,761.1200,764.2400,2987252
2024-10-23,762.8300,763.7899,744.2600,749.2900,3749007
2024-10-24,751.9700,755.8200,746.2500,754.5500,2642962
2024-10-25,756.1700,768.5000,753.5300,754.6800,2819473
2024-10-28,758.6800,758.6800,747.8800,749.1200,2862405
2024-10-29,751.1300,763.8800,748.0100,759.4400,3660433
2024-10-30,758.0800,759.7900,752.2775,753.7400,1722002
2024-10-31,753.9300,760.7899,752.2300,756.0300,3057709
2024-11-01,753.4800,763.7999,747.7700,756.1000,2996829
2024-11-04,753.1400,762.4800,749.6900,755.5100,1902194
2024-11-05,757.3500,767.5299,756.2700,763.9100,2200645
2024-11-06,771.5000,781.4900,757.3800,780.2100,3690817
2024-11-07,781.3700,798.2200,779.9400,796.5400,3295074
2024-11-08,797.3600,799.0600,788.6500,795.0400,1910626
2024-11-11,795.9000,806.8230,795.5650,805.4400,2399150
2024-11-12,807.5000,820.3697,803.7500,819.5000,2814064
2024-11-13,822.6150,836.9899,820.5368,830.4700,2767772
2024-11-14,833.6700,840.9997,830.0200,837.2600,3038231
2024-11-15,832.0400,832.0400,816.4900,823.9600,3673720
