open,high,low,close,volume
178.59,179.32,178.26,179.32,9722
179.32,179.32,178.87,178.87,920
178.78,179.32,178.67,179.17,3874
179.17,179.32,179.08,179.08,12018
179.08,179.12,178.97,179.12,552
179.12,179.12,178.67,178.67,850
178.67,178.95,178.67,178.91,3420
178.91,178.91,178.57,178.76,3084
178.76,179.12,178.76,178.95,2342
178.95,179.1,178.83,179.01,612
179.01,179.17,178.95,178.95,4030
178.95,178.95,178.68,178.82,306
178.82,178.87,178.71,178.71,4110
178.8,178.91,178.72,178.72,3094
178.72,178.8,178.68,178.74,718
178.74,178.74,178.59,178.65,5112
178.59,178.72,178.59,178.61,2224
178.61,178.82,178.57,178.74,520
178.74,178.83,178.65,178.65,1074
178.6,178.97,178.65,178.97,2826
178.97,178.98,178.78,178.91,5030
178.91,179.31,178.78,178.78,2904
178.83,179.29,178.78,179.06,1738
179.06,179.06,178.8,178.95,378
178.95,179.05,178.82,179.01,1968
178.93,178.93,178.76,178.86,564
178.86,178.93,178.76,178.93,758
178.93,178.93,178.87,178.93,216
178.93,179.12,178.93,179.02,912
179.05,179.08,178.89,178.95,2280
178.95,179.01,178.89,179.01,446
179.01,179.01,178.87,178.97,2030
178.97,178.97,178.82,178.97,216
178.97,178.97,178.82,178.82,76
178.82,178.89,178.78,178.78,828
178.78,178.78,178.74,178.74,2022
178.74,178.74,178.74,178.74,178.4
178.74,179.06,178.74,179.02,5286
179.02,179.21,178.98,179.21,3958
179.21,179.21,179.05,179.06,390
179.06,179.14,179.06,179.14,1224
179.1,179.1,179.1,179.1,300
179.1,179.2,179.1,179.2,2450
179.16,179.21,179.16,179.17,138
179.1,179.1,178.93,179.01,3654
179.01,179.01,178.95,179.01,146
178.95,179.02,178.95,179.02,580
179.02,179.02,178.95,179.02,166
179.02,179.02,178.89,178.95,504
178.95,179.05,178.95,178.95,380
178.95,178.95,178.87,178.95,44
178.95,179.02,178.95,178.97,358
179.02,179.12,179.02,179.12,1406
179.12,179.14,178.97,178.97,614
178.97,179.1,178.97,179.01,16
179.01,179.17,179.01,179.17,1114
179.17,179.21,179.06,179.14,1546
179.14,179.14,178.95,178.98,1156
178.98,179.14,178.98,179.05,3862
179.14,179.14,179.01,179.01,332
179.01,179.14,179.01,179.14,3046
179.14,179.14,179.05,179.14,1498
179.14,179.17,179.14,179.14,1476
179.14,179.14,179.12,179.12,56
179.12,179.16,179.06,179.06,542
179.17,179.29,179.16,179.21,2190
179.21,179.47,179.17,179.36,8096
179.36,179.51,179.36,179.38,3746
179.38,179.66,179.38,179.66,4976
179.66,179.66,179.59,179.65,2722
179.66,179.66,179.55,179.59,8730
179.7,179.7,179.61,179.7,5890
179.7,179.85,179.7,179.83,6058
179.83,179.83,179.44,179.61,7298
179.61,179.62,179.42,179.44,1328
179.44,179.53,179.4,179.4,736
179.4,179.7,179.4,179.7,5164
179.7,179.7,179.4,179.4,4906
179.4,179.59,179.2,179.59,4824
179.59,179.59,179.53,179.55,870
179.55,179.55,179.27,179.27,2200
179.27,179.53,179.16,179.46,7910
179.46,179.46,179.2,179.35,2604
179.35,179.44,179.25,179.32,462
179.32,179.32,178.95,179.16,7706
179.16,179.25,179.16,179.25,1034
179.25,179.36,179.14,179.36,1212
179.36,179.36,179.2,179.2,804
179.2,179.38,179.2,179.38,1124
179.38,179.38,179.31,179.32,1478
179.32,179.66,179.32,179.57,7874
179.61,179.61,179.17,179.23,4346
179.17,179.23,178.95,179.2,3964
179.2,179.32,179.14,179.23,3838
179.25,179.31,179.16,179.31,506
179.31,179.32,179.17,179.32,8024
179.32,179.32,179.27,179.27,174
179.27,179.31,179.14,179.14,830
179.14,179.21,179.14,179.21,1434
179.21,179.21,179.16,179.16,2706
179.16,179.21,179.12,179.12,5010
179.12,179.23,179.08,179.23,2530
179.23,179.23,179.21,179.21,120
179.21,179.29,179.21,179.29,252
179.29,179.29,179.17,179.17,108
179.17,179.23,179.17,179.23,30
179.23,179.23,179.14,179.21,2252
179.21,179.21,179.16,179.21,1278
179.16,179.23,179.16,179.23,2350
179.23,179.23,179.08,179.08,1060
179.08,179.16,179.08,179.16,12
179.16,179.16,179.05,179.05,710
179.05,179.12,178.98,179.12,1702
179.12,179.14,178.98,179.14,2042
179.14,179.14,179.01,179.14,554
179.14,179.14,179.14,179.14,2494
179.14,179.14,179.14,179.14,404
179.14,179.14,179.1,179.14,604
179.14,179.14,179.06,179.06,5916
179.06,179.08,179.06,179.08,298
179.08,179.12,179.08,179.12,42
179.12,179.14,179.08,179.14,966
179.14,179.14,179.12,179.12,162
179.12,179.14,179.12,179.14,1168
179.14,179.14,179.14,179.14,6
